""
"444	0.24185"
"443	0.2396"
"442	0.23682"
"441	0.23419"
"440	0.23146"
"439	0.2288"
"438	0.22621"
"437	0.22336"
"436	0.22084"
"435	0.21827"
"434	0.216"
"433	0.21329"
"432	0.21054"
"431	0.20805"
"430	0.20525"
"429	0.20268"
"428	0.20041"
"427	0.1982"
"426	0.1957"
"425	0.19302"
"424	0.19077"
"423	0.18852"
"422	0.18577"
"421	0.18327"
"420	0.18098"
"419	0.17879"
"418	0.17657"
"417	0.17422"
"416	0.17219"
"415	0.1701"
"414	0.16818"
"413	0.16603"
"412	0.16381"
"411	0.16184"
"410	0.15995"
"409	0.15806"
"408	0.15603"
"407	0.15396"
"406	0.15221"
"405	0.15049"
"404	0.14867"
"403	0.14694"
"402	0.14506"
"401	0.1432"
"400	0.14166"
"399	0.14004"
"398	0.13822"
"397	0.13623"
"396	0.13453"
"395	0.13283"
"394	0.1312"
"393	0.1297"
"392	0.1279"
"391	0.12605"
"390	0.12425"
"389	0.12278"
"388	0.12125"
"387	0.11972"
"386	0.1181"
"385	0.11671"
"384	0.1153"
"383	0.11387"
"382	0.11254"
"381	0.11117"
"380	0.10997"
"379	0.10918"
"378	0.10839"
"377	0.10772"
"376	0.10772"
"375	0.10743"
"374	0.10683"
"373	0.10694"
"372	0.10717"
"371	0.10757"
"370	0.10819"
"369	0.10886"
"368	0.10999"
"367	0.11106"
"366	0.1125"
"365	0.11487"
"364	0.11718"
"363	0.11925"
"362	0.12189"
"361	0.12512"
"360	0.12807"
"359	0.1309"
"358	0.13386"
"357	0.13696"
"356	0.14013"
"355	0.14324"
"354	0.14657"
"353	0.1495"
"352	0.15229"
"351	0.15485"
"350	0.1572"
"349	0.15985"
"348	0.16175"
"347	0.16373"
"346	0.16616"
"345	0.16789"
"344	0.16892"
"343	0.17024"
"342	0.17225"
"341	0.17307"
"340	0.1741"
"339	0.17527"
"338	0.176"
"337	0.17674"
"336	0.17738"
"335	0.17822"
"334	0.17842"
"333	0.17847"
"332	0.17857"
"331	0.17946"
"330	0.17887"
"329	0.17812"
"328	0.17812"
"327	0.17768"
"326	0.17703"
"325	0.17719"
"324	0.17718"
"323	0.1758"
"322	0.17522"
"321	0.17452"
"320	0.17398"
"319	0.17203"
"318	0.17383"
"317	0.17439"
"316	0.17338"
"315	0.172"
"314	0.17069"
"313	0.16968"
"312	0.1685"
"311	0.16718"
"310	0.166"
"309	0.16504"
"308	0.1639"
"307	0.16263"
"306	0.1618"
"305	0.16101"
"304	0.16011"
"303	0.15927"
"302	0.15868"
"301	0.15829"
"300	0.15772"
""
