x,y,column1,column2,column3,column4
618,0.034,0.0003675675675675676,-0.006574141709276715,617.966,
1078,0.034,0.0003675675675675676,-0.006574141709276715,1077.966,
1508,0.035,0.0003783783783783784,0.02264426588750919,1507.965,-3.7878486208032998
1988,0.036,0.0003891891891891892,0.051862673484295095,1987.964,-2.9591559482471337
2258,0.036,0.0003891891891891892,0.051862673484295095,2257.964,-2.9591559482471337
2628,0.037,0.00039999999999999996,0.081081081081081,2627.963,-2.5123056239761157
3048,0.038,0.0004108108108108108,0.11029948867786706,3047.962,-2.2045559884735244
3398,0.039,0.00042162162162162164,0.1395178962746531,3397.961,-1.9695623972418184
3858,0.039,0.00042162162162162164,0.1395178962746531,3857.961,-1.9695623972418184
4168,0.039,0.00042162162162162164,0.1395178962746531,4167.961,-1.9695623972418184
4398,0.04,0.00043243243243243243,0.168736303871439,4397.96,-1.7794181147666552
4838,0.041,0.00044324324324324327,0.19795471146822508,4837.959,-1.6197170044087474
5238,0.042,0.0004540540540540541,0.22717311906501111,5237.958,-1.482042913109214
5648,0.043,0.00046486486486486484,0.2563915266617969,5647.957,-1.3610496018225833
5118,0.041,0.00044324324324324327,0.19795471146822508,5117.959,-1.6197170044087474
4728,0.04,0.00043243243243243243,0.168736303871439,4727.96,-1.7794181147666552
4468,0.039,0.00042162162162162164,0.1395178962746531,4467.961,-1.9695623972418184
3898,0.038,0.0004108108108108108,0.11029948867786706,3897.962,-2.2045559884735244
3528,0.038,0.0004108108108108108,0.11029948867786706,3527.962,-2.2045559884735244
3038,0.037,0.00039999999999999996,0.081081081081081,3037.963,-2.5123056239761157
2298,0.036,0.0003891891891891892,0.051862673484295095,2297.964,-2.9591559482471337
1708,0.035,0.0003783783783783784,0.02264426588750919,1707.965,-3.7878486208032998
1388,0.035,0.0003783783783783784,0.02264426588750919,1387.965,-3.7878486208032998
1028,0.034,0.0003675675675675676,-0.006574141709276715,1027.966,
698,0.034,0.0003675675675675676,-0.006574141709276715,697.966,
288,0.033,0.00035675675675675677,-0.035792549306062765,287.967,
-542,0.033,0.00035675675675675677,-0.035792549306062765,-542.033,
-1002,0.034,0.0003675675675675676,-0.006574141709276715,-1002.034,
-1242,0.034,0.0003675675675675676,-0.006574141709276715,-1242.034,
-1702,0.034,0.0003675675675675676,-0.006574141709276715,-1702.034,
-2022,0.035,0.0003783783783783784,0.02264426588750919,-2022.035,-3.7878486208032998
-2652,0.036,0.0003891891891891892,0.051862673484295095,-2652.036,-2.9591559482471337
-3102,0.036,0.0003891891891891892,0.051862673484295095,-3102.036,-2.9591559482471337
-3562,0.037,0.00039999999999999996,0.081081081081081,-3562.037,-2.5123056239761157
-3932,0.037,0.00039999999999999996,0.081081081081081,-3932.037,-2.5123056239761157
-4222,0.038,0.0004108108108108108,0.11029948867786706,-4222.038,-2.2045559884735244
-4652,0.039,0.00042162162162162164,0.1395178962746531,-4652.039,-1.9695623972418184
-5062,0.039,0.00042162162162162164,0.1395178962746531,-5062.039,-1.9695623972418184
-5322,0.04,0.00043243243243243243,0.168736303871439,-5322.04,-1.7794181147666552
-5512,0.041,0.00044324324324324327,0.19795471146822508,-5512.041,-1.6197170044087474
-5842,0.041,0.00044324324324324327,0.19795471146822508,-5842.041,-1.6197170044087474
-5492,0.041,0.00044324324324324327,0.19795471146822508,-5492.041,-1.6197170044087474
-5102,0.039,0.00042162162162162164,0.1395178962746531,-5102.039,-1.9695623972418184
-4452,0.038,0.0004108108108108108,0.11029948867786706,-4452.038,-2.2045559884735244
-4032,0.037,0.00039999999999999996,0.081081081081081,-4032.037,-2.5123056239761157
-3302,0.036,0.0003891891891891892,0.051862673484295095,-3302.036,-2.9591559482471337
-3012,0.036,0.0003891891891891892,0.051862673484295095,-3012.036,-2.9591559482471337
-2592,0.035,0.0003783783783783784,0.02264426588750919,-2592.035,-3.7878486208032998
-2432,0.034,0.0003675675675675676,-0.006574141709276715,-2432.034,
-2162,0.034,0.0003675675675675676,-0.006574141709276715,-2162.034,
-1842,0.034,0.0003675675675675676,-0.006574141709276715,-1842.034,
-1352,0.034,0.0003675675675675676,-0.006574141709276715,-1352.034,
-732,0.034,0.0003675675675675676,-0.006574141709276715,-732.034,
-242,0.033,0.00035675675675675677,-0.035792549306062765,-242.033,
